CALBIT C-1L,MICRONUTRIENT,520,520.00,
CHAMAK-250G,MICRONUTRIENT,105,105.00,
CHAMAK-500G,MICRONUTRIENT,198,198.00,
CHAMAK PLUS-250ml,MICRONUTRIENT,152,152.00,
CHAMAK PLUS-500ML,MICRONUTRIENT,285,285.00,
CHARGER,OTHER,165,165.00,
CHELAMIN-100g,MICRONUTRIENT,104,104.00,
CHELAMIN-500G,MICRONUTRIENT,495.14,495.14,
CHELAMIN-250G,MICRONUTRIENT,257,257.00,
CHELAMIN GOLD-250G,MICRONUTRIENT,262,262.00,
CHELAMINGOLD-500G,MICRONUTRIENT,514,514.00,
CHILLI-2074,SEED,258,258.00,
COCOPEAT-40KG,OTHER,850,850.00,
COMBICAL-1KG,MICRONUTRIENT,215,215.00,
COMANDO-500G,INCESTCIDE,350,350.00,
COMPO 19-19-19-1KG,WSF,287,287.00,
CROPMAX-250ML,PGR,360,360.00,
CRUISER-25G,INCESTCIDE,207,207.00,
CULTAR-50ML,PGR,255,255.00,
CURACRON-1L,INCESTCIDE,803,803.00,
CURACRON-500ML,INCESTCIDE,422,422.00,
CURACRON-250ML,INCESTCIDE,205,205.00,
CUSTODIA-100ML,FUNGICIDE,308,308.00,
CUSTODIA-250ML,FUNGICIDE,755,755.00,
CUSTODIA-500ML,FUNGICIDE,1463,1463.00,
CUSTODIA-1L,FUNGICIDE,2888,2888.00,
DANITOL-100ML,INCESTCIDE,67,67.00,
DANTOTSHU-6G,INCESTCIDE,74,74.00,
DANTOSHU-50G,INCESTCIDE,624,624.00,
DANZAPOWER-12G,PGR,49,49.00,
DAS-10G,SEED,122,122.00,
DELEGATE-100ML,INCESTCIDE,1000,1000.00,
DELTA TRAP,OTHER,132,132.00,
DEVASTO-250ML,INCESTCIDE,390,390.00,
DEVASTO-100ML,INCESTCIDE,170,170.00,
DHANYA PEAS-1KG,SEED,175,175.00,
DIPEL-1L,INCESTCIDE,937,937.00,
DIPEL250ML,INCESTCIDE,243,243.00,
DIPEL-500G,INCESTCIDE,474,474.00,
DOMITREL-350ML,HERBICIDE,273,273.00,
DOMITREL-700ML,HERBICIDE,517,517.00,
DURGABEANS-1KG,SEED,168,168.00,
EKALUX-100ML,INCESTCIDE,76,76.00,
EKALUX-1L,INCESTCIDE,659,659.00,
EKALUX-250ML,INCESTCIDE,184,184.00,
EKALUX-500ML,INCESTCIDE,350,350.00,
EVENSO-100ML,HERBICIDE,129,129.00,
EVERGOL EXTEND-40ML,FUNGICIDE,304,304.00,
EVICENT-24G,INCESTCIDE,454,454.00,
EVICENT-60G,INCESTCIDE,1678,1678.00,
FALCON-1L,PGR,634,634.00,
FALCON-500ML,PGR,325,325.00,
FANTAC PLUS-100ML,PGR,215,215.00,
FANTAC PLUS-250ML,PGR,505,505.00,
FERTISOL-1KG,MICRONUTRIENT,175,175.00,
FILIA-250ML,FUNGICIDE,432,432.00,
FILIA-500ML,FUNGICIDE,1029,1029.00,
FIRCON-100ML,INCESTCIDE,177,177.00,
FIRCON-250ML,INCESTCIDE,413,413.00,
FIRCON-500ML,INCESTCIDE,791,791.00,
FOLIOGOLD-250ML,FUNGICIDE,425,425.00,
FOLIOGOLD-500ML,FUNGICIDE,814.5,814.50,
FORTENZA DUO-32ML,INCESTCIDE,743,743.00,
GESHAM-80G,HERBICIDE,161,161.00,
GLOIT-250ML,FUNGICIDE,495,495.00,
GLOIT-500ML,FUNGICIDE,963,963.00,
GREEN BOOSTER-1KG,PGR,310,310.00,
HARRIER-100G,INCESTCIDE,148,148.00,
HARRIER-250G,INCESTCIDE,294,294.00,
HARU-250G,FUNGICIDE,171,171.00,
HARU-500G,FUNGICIDE,300,300.00,
HOSERA EXCEL-1L,FUNGICIDE,5376,5376.00,
HOSERA EXCEL-250ML,FUNGICIDE,1393,1393.00,
HOSHIULTRA-250ML,PGR,161,161.00,
HOSI ULTRA-500ML,PGR,303,303.00,
HUMICIL G-10KG,PGR,1000,1000.00,
HYRO G-4KG,PGR,515,515.00,
HYRO MY-4KG,PGR,537,537.00,
HYRO PLUS-1LTR,PGR,764,764.00,
IMPERIAL-250ML,INCESTCIDE,261,261.00,
IMPERIAL-500ML,INCESTCIDE,506,506.00,
INFRAME-100ML,INCESTCIDE,185,185.00,
INFRAME-250ML,INCESTCIDE,600,600.00,
INFRAME-500ML,INCESTCIDE,862,862.00,
ISABION-250ML,PGR,280,280.00,
ISABION-500ML,PGR,595.45,595.45,
JIKA-50ML,PGR,211,211.00,
JIO-100ML,INCESTCIDE,125,125.00,
JIO-250ML,INCESTCIDE,310,310.00,
JIVRAS-1L,PGR,530,530.00,
JIVRAS-250ML,PGR,140,140.00,
JIVRAS-500ML,PGR,275,275.00,
JK 8031-10G,SEED,120,120.00,
JK DESI-10G,SEED,210,210.00,
JUMP-2G,INCESTCIDE,36.71,36.71,
JUMP-20G,INCESTCIDE,367,367.00,
KARATE-250ML,INCESTCIDE,151,151.00,
KARATE-500ML,INCESTCIDE,292,292.00,
KAVACH-250G,FUNGICIDE,377,377.00,
KEEFON-100ML,INCESTCIDE,285,285.00,
KENDALROOT-1L,PGR,1050,1050.00,
KISAN BOLDER-50G,SEED,60,60.00,
KMS-1KG,WSF,208,208.00,
KOCIDE-500G,FUNGICIDE,828,828.00,
KOCIDE-250G,FUNGICIDE,474,474.00,
KPHONIC-500G,FUNGICIDE,420,420.00,
KRANTI-100ML,PGR,95,95.00,
KRANTI-1L,PGR,720,720.00,
KRANTI-250ML,PGR,217.61,217.61,
KRANTI-500ML,PGR,410,410.00,
LAUDIS-115ML,HERBICIDE,1226,1226.00,
LORWAN-100ML,INCESTCIDE,150,150.00,
LUNA-100ML,FUNGICIDE,558,558.00,
LUNA-1L,FUNGICIDE,5470,5470.00,
LUNA-250ML,FUNGICIDE,1399,1399.00,
LURE FOR CUCURBIT,OTHER,62,62.00,
MULTIPLEX MAGNESIUM SULPHATE-25KG,WSF,980,980.00,
MAHAZINC-1KG,MICRONUTRIENT,70,70.00,
MAINCOP-500G,FUNGICIDE,369,369.00,
MALLIKA-50G,SEED,390,390.00,
MASTER-20-20-20-10KG,WSF,1630,1630.00,
MASTER-20-20-20-25KG,WSF,3940,3940.00,
MATADOR-1L,INCESTCIDE,780,780.00,
MATADOR250ML,INCESTCIDE,210,210.00,
MATADOR-500ML,INCESTCIDE,406,406.00,
MC EXTRA-250G,MICRONUTRIENT,602,602.00,
MC EXTRA-500G,MICRONUTRIENT,1116,1116.00,
MC SET-1L,MICRONUTRIENT,850,850.00,
MC SET-500ML,MICRONUTRIENT,453,453.00,
MEGAFOL-1L,MICRONUTRIENT,897,897.00,
MELODY DUO-100G,FUNGICIDE,226,226.00,
MELODY DUO-400G,FUNGICIDE,874,874.00,
MEOTHRIN-250ML,INCESTCIDE,300,300.00,
MERIVON-80ML,FUNGICIDE,834,834.00,
MINCHUUPLUS-250ML,INCESTCIDE,310,310.00,
MIRACULAN-250ML,PGR,111,111.00,
MIRADOR-100ML,FUNGICIDE,453.5,453.50,
MIRADOR-15ML,FUNGICIDE,80,80.00,
MIRADOR-200ML,FUNGICIDE,887,887.00,
MIRADOR-500ML,FUNGICIDE,2140,2140.00,
MIRADOR-50ML,FUNGICIDE,235,235.00,
MOBOMIN-250G,MICRONUTRIENT,233,233.00,
MOLYBDENUM-100G,MICRONUTRIENT,640,640.00,
MOVENTO-100ML,INCESTCIDE,328,328.00,
MULCHING SHEET BLUE LABEL,OTHER,1780,1780.00,
MULCHING SHEET RED LABEL,OTHER,2014,2014.00,
MULTIMAG-1KG,WSF,59,59.00,
MULTIMAX-1KG,MICRONUTRIENT,342,342.00,
MULTIMAX-500G,MICRONUTRIENT,179,179.00,
MULTINEEM-1L,INCESTCIDE,383,383.00,
MULTINEEM-500ML,INCESTCIDE,201,201.00,
MULTINEMOR-1L,INCESTCIDE,550,550.00,
MYNDEVA-150ML,FUNGICIDE,411,411.00,
NAGASTHA-100ML,ACTIVATOR,74,74.00,
NAGASTHA-250ML,ACTIVATOR,158,158.00,
NAGASTHA-500ML,ACTIVATOR,301,301.00,
NARKIS-100ML,HERBICIDE,315,315.00,
NATUREDEEP-100G,PGR,440,440.00,
NAVJIBAN-5KG,PGR,271,271.00,
NEIL-3000SDS,SEED,464,464.00,
